"taxparcelnumber","location_value"
"7800001132","Other"
"7800001150","Other"
"7800001180","Other"
"7800001190","Other"
"7800001270","Other"
"7800001370","Low"
"7800001380","Other"
"7800001400","Other"
"7800001410","Other"
"7800001442","Other"
"7805000070","Other"
"7805000080","Other"
"7805000120","Other"
"7805000190","Other"
"7805000210","Other"
"7805000222","Other"
"7805000240","Other"
"7805000300","Other"
"7805000350","Other"
"7805000410","Low"
"7805000460","Other"
"7805000490","Other"
"7805000510","Other"
"7805000540","Other"
"7805000650","Other"
"7805000660","Other"
"7805000670","Other"
"7805000741","Other"
"7805000781","Other"
"7805000830","Other"
"7810000090","Low"
"7810000101","Low"
"7810000111","Other"
"7810000140","Other"
"7810000180","Other"
"7810000253","Other"
"7810000254","Other"
"7810000271","Other"
"7810000272","Other"
"7810000282","Other"
"7810000302","Other"
"7810000311","Other"
"7810000312","Other"
"7810000313","Other"
"7810000344","Other"
"7810000420","Other"
"7810000430","Other"
"7810000463","Other"
"7810000510","Other"
"7810000660","Other"
"7810000720","Other"
"7810000740","Other"
"7810000781","Other"
"7810000811","Other"
"7810000820","Other"
"7810000834","Other"
"7815000010","Low"
"7815000030","Low"
"7815000043","Low"
"7815000051","Low"
"7815000062","Low"
"7815000071","Low"
"7815000100","Low"
"7815000156","Low"
"7815000157","Low"
"7815000210","Low"
"7815000220","Low"
"7815000330","Low"
"7815000432","Low"
"7815000440","Other"
"7815000450","Low"
"7815000512","Low"
"7815000533","Low"
"7815000535","Low"
"7815000540","Low"
"7815000550","Low"
"7815000560","Low"
"7815000580","Low"
"7815000626","Low"
"7815000703","Low"
"7815000706","Low"
"7815000723","Low"
"7815000727","Low"
"7815000736","Low"
"7815000750","Low"
"7815000761","Low"
"7815000834","Low"
"7815000852","Low"
"7815000874","Low"
"7815000890","Low"
"7815000903","Other"
"7815000907","Low"
"7815000908","Other"
"7815000923","Other"
"7815000932","Low"
"7815000942","Other"
"7815000951","Low"
"7815000971","Low"
"7815000982","Low"
"7815000983","Low"
"7815000984","Low"
"7815000990","Low"
"7815001013","Low"
"7815001014","Low"
"7815001016","Low"
"7815001061","Low"
"7815001140","Low"
"7815001160","Low"
"7816310420","Low"
"7816320560","Low"
"7816320650","Other"
"7816320900","Low"
"7816320920","Low"
"7816330710","High"
"7816390020","Low"
"7816390090","Low"
"7816390150","Low"
"7816400020","High"
"7816400040","High"
"7816400060","High"
"7816400080","High"
"7816400090","High"
"7816400100","High"
"7816400180","High"
"7816400200","High"
"7816500011","Other"
"7816500030","Other"
"7816500040","Other"
"7816500060","Other"
"7816500070","Other"
"7816500111","Other"
"7816500180","Other"
"7817000010","Other"
"7817000020","Other"
"7817000060","Other"
"7817000230","Other"
"7817000250","Other"
"7817000270","Other"
"7817000300","Other"
"7817000310","Other"
"7817000330","Other"
"7817000360","Other"
"7817000370","Other"
"7817000380","Other"
"7819200040","Other"
"7819200060","Other"
"7819200070","Other"
"7819200090","Other"
"7819200110","Other"
"7819200260","Other"
"7819200270","Other"
"7819200300","Other"
"7820000130","Low"
"7825000030","Low"
"7825000050","Low"
"7835000040","Low"
"7835000090","Low"
"7845001242","Other"
"7845100410","Low"
"7845100470","Other"
"7850000330","Low"
"7850000340","Low"
"7850000370","Low"
"7850000565","Low"
"7850000572","Low"
"7850000760","Low"
"7850000770","Low"
"7850000880","Low"
"7850000980","Low"
"7850000982","Low"
